"","author","title","journal","date"
"378","Laura Gressler","Patient-centeredness and psychometric properties of the Defense and Veterans Pain Rating Scale 2.0 (DVPRS).","Pain medicine (Malden, Mass.)","2024 Jan 4"
"379","Laura Gressler","Development and Testing of a Chronic-Disease Patient Experience Mapping Toolbox.","The patient","2024 May"
"380","Lauren Wagner","A best-worst scaling experiment to prioritize caregiver concerns about ADHD medication for children.","Psychiatric services (Washington, D.C.)","2015 Feb 1"
"381","Lauren Wagner","Measuring and interpreting individual differences in fetal, infant, and toddler neurodevelopment.","Developmental cognitive neuroscience","2025 Jun"
"382","Louis Flowers","Health care cost of analgesic use in hypertensive patients.","Clinical therapeutics","2004 Feb"
"383","Louis Flowers","White paper: value of specialty certification in pharmacy.","Journal of the American Pharmacists Association : JAPhA","2004 Sep-Oct"
"384","Lynette Bradley-Baker","Report of the 2010-2011 Professional Affairs Committee: Effective partnerships to implement pharmacists' services in team-based, patient-centered healthcare.","American journal of pharmaceutical education","2011 Dec 15"
"385","Lynette Bradley-Baker","Pharmacy residencies and dual degrees as complementary or competitive advanced training opportunities.","American journal of pharmaceutical education","2012 Oct 12"
"386","Lynette Bradley-Baker","Report of the 2013-2014 Professional Affairs Standing Committee: advancing the pharmacy profession together through pharmacy technician and pharmacy education partnerships.","American journal of pharmaceutical education","2014 Dec 15"
"387","Lynette Bradley-Baker","The Report of the 2017-2018 Professional Affairs Standing Committee: The Development of the Preceptor Self-Assessment Tool for Entrustable Professional Activities for New Graduates.","American journal of pharmaceutical education","2018 Sep"
"388","Mark Maneval","Burden of COPD, asthma, and concomitant COPD and asthma among adults: racial disparities in a medicaid population.","Chest","2009 Aug"
"389","Martin Calabrese","Emerging roles for pharmacists in performance-based risk-sharing arrangements.","American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists","2017 Jul 1"
"390","Martin Calabrese","Aggregate Trends of Hepatitis C Virus Identification and Treatment in Maryland Corrections Fiscal Years 2012-2016.","Journal of urban health : bulletin of the New York Academy of Medicine","2018 Aug"
"391","Martin Calabrese","Future Considerations for the Evaluation of Hepatitis C Virus Treatments in Pan-Genotypic Therapy for Noncirrhotic Treatment-Naive Patients.","Journal of managed care & specialty pharmacy","2018 Jan"
"392","Martin Calabrese","Short-term healthcare resource utilization associated with receipt of CDC-informed opioid thresholds among commercially insured new chronic opioid users.","Journal of opioid management","2024 Jan-Feb"
"393","Martin Calabrese","State-level policies and receipt of CDC-informed opioid thresholds among commercially insured new chronic opioid users.","Journal of opioid management","2024 Mar-Apr"
"394","Masayo Sato","Validation of a method for identifying nursing home admissions using administrative claims.","BMC health services research","2007 Dec 10"
"395","Masayo Sato","Racial and ethnic disparities in the treatment of dementia among Medicare beneficiaries.","The journals of gerontology. Series B, Psychological sciences and social sciences","2008 Sep"
"396","Masayo Sato","Residential and health care transition patterns among older medicare beneficiaries over time.","The Gerontologist","2011 Apr"
"397","Masayo Sato","Erythropoiesis-stimulating agents are not associated with increased risk of thrombosis in patients with myelodysplastic syndromes.","Haematologica","2012 Jan"
"398","Masayo Sato","Variations in erythropoiesis-stimulating agent administration in transfusion-dependent myelodysplastic syndromes impact response.","Leukemia research","2015 Jun"
"399","Maya Hanna","Predicting Diagnosis of Alzheimer's Disease and Related Dementias Using Administrative Claims.","Journal of managed care & specialty pharmacy","2018 Nov"
"400","Maya Hanna","Increased Health Care Utilization in Dementia Subtypes Before Diagnosis.","Alzheimer disease and associated disorders","2018 Oct-Dec"
"401","Maya Hanna","Multi-Method Patient-Engagement Approach: A Case Example from a PCORI-Funded Training Project.","The patient","2019 Apr"
"402","Maya Hanna","An Algorithm to Characterize a Dementia Population by Disease Subtype.","Alzheimer disease and associated disorders","2019 Apr-Jun"
"403","Meaghan St. Charles","Gastroenterologists' prescribing of infliximab for Crohn's disease: a national survey.","Inflammatory bowel diseases","2009 Oct"
"404","Mehmet Burcu","Antipsychotic use by medicaid-insured youths: impact of eligibility and psychiatric diagnosis across a decade.","Psychiatric services (Washington, D.C.)","2013 Mar 1"
"405","Mehmet Burcu","Pharmacotherapeutic management of dementia across settings of care.","Journal of the American Geriatrics Society","2013 May"
"406","Mehmet Burcu","Atypical antipsychotic use among Medicaid-insured children and adolescents: duration, safety, and monitoring implications.","Journal of child and adolescent psychopharmacology","2014 Apr"
"407","Mehmet Burcu","Pediatric Bipolar Disorder: Subtype Trend and Impact of Behavioral Comorbidities.","Journal of clinical medicine","2014 Mar 20"
"408","Mehmet Burcu","Construct validity and factor structure of survey-based assessment of cost-related medication burden.","Medical care","2015 Feb"
"409","Mehmet Burcu","Trends in subthreshold psychiatric diagnoses for youth in community treatment.","JAMA psychiatry","2015 Jan"
"410","Mehmet Burcu","Medicaid prior authorization policies for pediatric use of antipsychotic medications.","JAMA","2015 Mar 3"
"411","Mehmet Burcu","Health care access and smoking cessation among cancer survivors: implications for the Affordable Care Act and survivorship care.","Journal of cancer survivorship : research and practice","2016 Feb"
"412","Mehmet Burcu","Antipsychotic prescribing for behavioral disorders in US youth: physician specialty, insurance coverage, and complex regimens.","Pharmacoepidemiology and drug safety","2016 Jan"
"413","Mehmet Burcu","Trends and patterns of antidepressant use in children and adolescents from five western countries, 2005-2012.","European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology","2016 Mar"
"414","Mehmet Burcu","National Trends in Psychiatric Not Otherwise Specified (NOS) Diagnosis and Medication Use Among Adults in Outpatient Treatment.","Psychiatric services (Washington, D.C.)","2016 Mar"
"415","Mehmet Burcu","Assessment of an Expanded Functional Disability Scale for Older Adults With Diabetes.","Journal of applied gerontology : the official journal of the Southern Gerontological Society","2016 May"
"416","Mehmet Burcu","Trends in Stimulant Medication Use in Commercially Insured Youths and Adults, 2010-2014.","JAMA psychiatry","2016 Sep 1"
"417","Mehmet Burcu","National Trends in ADHD Diagnosis and Treatment: Comparison of Youth and Adult Office-Based Visits.","Psychiatric services (Washington, D.C.)","2016 Sep 1"
"418","Mehmet Burcu","A multi-national comparison of antipsychotic drug use in children and adolescents, 2005-2012.","Child and adolescent psychiatry and mental health","2017"
"419","Mehmet Burcu","Response to Adesman and Blaufox re: ""Stimulants and Pediatric Cardiovascular Risk"".","Journal of child and adolescent psychopharmacology","2017 Aug"
"420","Mehmet Burcu","Concomitant Use of Atypical Antipsychotics With Other Psychotropic Medication Classes and the Risk of Type 2 Diabetes Mellitus.","Journal of the American Academy of Child and Adolescent Psychiatry","2017 Aug"
"421","Mehmet Burcu","Stimulants and Pediatric Cardiovascular Risk.","Journal of child and adolescent psychopharmacology","2017 Aug"
"422","Mehmet Burcu","Association of Antidepressant Medications With Incident Type 2 Diabetes Among Medicaid-Insured Youths.","JAMA pediatrics","2017 Dec 1"
"423","Mehmet Burcu","Trends in ADHD medication use in children and adolescents in five western countries, 2005-2012.","European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology","2017 May"
"424","Mehmet Burcu","Nurse Practitioner Independent Practice Authority and Mental Health Service Delivery in U.S. Community Health Centers.","Psychiatric services (Washington, D.C.)","2017 Oct 1"
"425","Mehmet Burcu","Hispanic Residential Isolation, ADHD Diagnosis and Stimulant Treatment among Medicaid-Insured Youth.","Ethnicity & disease","2017 Spring"
"426","Mehmet Burcu","Comparing Nurse Practitioner and Physician Prescribing of Psychotropic Medications for Medicaid-Insured Youths.","Journal of child and adolescent psychopharmacology","2018 Apr"
"427","Mehmet Burcu","Pediatric Use of Antipsychotic Medications Before and After Medicaid Peer Review Implementation.","JAMA psychiatry","2018 Jan 1"
"428","Mehmet Burcu","The Impact of a State Medicaid Peer-Review Authorization Program on Pediatric Use of Antipsychotic Medications.","Psychiatric services (Washington, D.C.)","2018 Mar 1"
"429","Mehmet Burcu","Cardiovascular Events Following Treatment Initiation with Atypical Antipsychotic Medications in Publicly Insured U.S. Youth.","Journal of child and adolescent psychopharmacology","2018 Sep"
"430","Mehmet Burcu","Real-world evidence to support regulatory decision-making for medicines: Considerations for external control arms.","Pharmacoepidemiology and drug safety","2020 Oct"
"431","Mehmet Burcu","Developing Patient-Centered Real-World Evidence: Emerging Methods Recommendations From a Consensus Process.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2023 Jan"
"432","Mehmet Burcu","Treatment Patterns and Radical Cystectomy Outcomes in Patients Diagnosed With Urothelial Nonmetastatic Muscle-Invasive Bladder Cancer in the United States.","Cancer medicine","2025 Feb"
"433","Melissa Ross","Engaging hard-to-reach patients in patient-centered outcomes research.","Journal of comparative effectiveness research","2013 May"
"434","Melissa Ross","A best-worst scaling experiment to prioritize caregiver concerns about ADHD medication for children.","Psychiatric services (Washington, D.C.)","2015 Feb 1"
"435","Melissa Ross","Attribute Development Using Continuous Stakeholder Engagement to Prioritize Treatment Decisions: A Framework for Patient-Centered Research.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2016 Sep-Oct"
"436","Melissa Ross","A Latent Class Analysis to Identify Variation in Caregivers' Preferences for their Child's Attention-Deficit/Hyperactivity Disorder Treatment: Do Stated Preferences Match Current Treatment?","The patient","2017 Apr"
"437","Melissa Ross","College students' perceived benefit-to-risk tradeoffs for nonmedical use of prescription stimulants: Implications for intervention designs.","Addictive behaviors","2018 Apr"
"438","Melissa Ross","Best-Worst Scaling to Prioritize Outcomes Meaningful to Caregivers of Youth with Mental Health Multimorbidities: A Pilot Study.","Journal of developmental and behavioral pediatrics : JDBP","2018 Feb/Mar"
"439","Melissa Ross","Caregivers' Priorities and Observed Outcomes of Attention-Deficit Hyperactivity Disorder Medication for Their Children.","Journal of developmental and behavioral pediatrics : JDBP","2018 Feb/Mar"
"440","Melissa Ross","Engaging Caregivers in the Treatment of Youth with Complex Developmental and Mental Health Needs.","The journal of behavioral health services & research","2018 Jul"
"441","Melissa Ross","Care Management for Youth With Comorbid Developmental and Mental Health Conditions: A Discrete Choice Experiment Pilot Study.","Academic pediatrics","2020 Mar"
"442","Michelle Campbell","Perceptions of patient provider agreements.","Journal of pharmaceutical health services research : an official journal of the Royal Pharmaceutical Society of Great Britain","2015 Sep"
"443","Mikhail Menis","Intervention for decreasing excessive acetaminophen use in Pennsylvania Medicaid recipients.","American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists","2004 Nov 15"
"444","Mikhail Menis","Providing linguistically appropriate services to persons with limited English proficiency: a needs and resources investigation.","The American journal of managed care","2004 Sep"
"445","Mikhail Menis","Body mass index and up-to-date colorectal cancer screening among Marylanders aged 50 years and older.","Preventing chronic disease","2006 Jul"
"446","Ming-Haw Liu","Brain-wide functional connectome analysis of 40,000 individuals reveals brain networks that show aging effects in older adults.","Imaging neuroscience (Cambridge, Mass.)","2024"
"447","Ming-Haw Liu","The dependence of CO(2) cerebrovascular reactivity (CVR) on caffeine.","Imaging neuroscience (Cambridge, Mass.)","2025"
"448","Ming-Haw Liu","Analysis of metagenomic data.","Nature reviews. Methods primers","2025"
"449","Ming-Haw Liu","Age and sex-specific changes in mitochondrial quality control in skeletal and cardiac muscle.","Frontiers in aging","2025"
"450","Ming-Haw Liu","CD24-Fc resolves inflammation and enhances anti-HIV CD8 T cells with polyfunctionality during HIV-1 infection under cART.","PLoS pathogens","2025 Aug"
"451","Ming-Haw Liu","Observation of the Very Rare Σ^{+}→pμ^{+}μ^{-} Decay.","Physical review letters","2025 Aug 1"
"452","Ming-Haw Liu","Diminished Cerebral Oxygen Extraction and Metabolic Rate in Neonates With Hypoxic Ischemic Encephalopathy.","Stroke","2025 Aug 1"
"453","Ming-Haw Liu","Recent Developments in Amber Biomolecular Simulations.","Journal of chemical information and modeling","2025 Aug 11"
"454","Ming-Haw Liu","Metabolism of new drug modalities research advances - 2024 year in review.","Drug metabolism reviews","2025 Aug 12"
"455","Ming-Haw Liu","Biotransformation research advances - 2024 year in review.","Drug metabolism reviews","2025 Aug 13"
"456","Ming-Haw Liu","Superionic Surface Li-Ion Transport in Carbonaceous Materials.","Nano letters","2025 Aug 15"
"457","Ming-Haw Liu","From Molecules to Machines: A Multiscale Roadmap to Intelligent, Multifunctional Soft Robotics.","Chemical reviews","2025 Aug 19"
"458","Ming-Haw Liu","Utilizing the synergistic biophysical and biogeochemical processes to estimate the impacts of forest landscape characteristics on land surface temperature and carbon stock in southern China.","Journal of environmental management","2025 Aug 20"
"459","Ming-Haw Liu","Masculine Norms and Their Associations With Social Anxiety and Body Appreciation Among College Men in the United States.","Scandinavian journal of psychology","2025 Aug 20"
"460","Ming-Haw Liu","Dural arteriovenous fistula presenting as paradoxical contralateral pulsatile tinnitus due to contralateral otosclerosis-induced mixed hearing loss.","European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery","2025 Aug 23"
"461","Ming-Haw Liu","Multi-population Genome-Wide Association Study Identifies Multiple Novel Loci Associated with Asymptomatic Intracranial Large Artery Stenosis.","International journal of stroke : official journal of the International Stroke Society","2025 Aug 24"
"462","Ming-Haw Liu","Summary of taxonomy changes ratified by the International Committee on Taxonomy of Viruses (ICTV) from the Animal dsRNA and ssRNA(-) Viruses Subcommittee, 2025.","The Journal of general virology","2025 Jul"
"463","Ming-Haw Liu","3D-printed phantoms for measuring lateral resolution and contrast performance of ophthalmic adaptive optics imaging systems.","Biomedical optics express","2025 Jul 1"
"464","Ming-Haw Liu","Fair molecular feature selection unveils universally tumor lineage-informative methylation sites in colorectal cancer.","Bioinformatics (Oxford, England)","2025 Jul 1"
"465","Ming-Haw Liu","Evidence for B^{-}→D^{**0}τ^{-}ν_{τ}[over ¯] Decays.","Physical review letters","2025 Jul 11"
"466","Ming-Haw Liu","Transcriptomic Analysis of Localized High-risk Prostate Cancer Improves Prognostication and Identifies Benefit from Adding Docetaxel to Definitive Radiotherapy with Androgen Suppression in the NRG Oncology/RTOG 0521 Phase 3 Trial.","European urology oncology","2025 Jul 16"
"467","Ming-Haw Liu","Search for Extremely-High-Energy Neutrinos and First Constraints on the Ultrahigh-Energy Cosmic-Ray Proton Fraction with IceCube.","Physical review letters","2025 Jul 18"
"468","Ming-Haw Liu","Intercomparison of methods for estimating leaf inclination angle distribution with terrestrial lidar for broadleaf tree species.","The New phytologist","2025 Jul 18"
"469","Ming-Haw Liu","Populus PtrbHLH011 Is a Transcriptional Co-Regulator Involved in the Activation of Cell Wall Biosynthesis by Iron Deprivation.","Plant biotechnology journal","2025 Jul 22"
"470","Ming-Haw Liu","Modification effect of prenatal polyunsaturated fatty acids on the associations between air particulate matter exposure and infant's growth: A birth cohort study.","Environmental pollution (Barking, Essex : 1987)","2025 Jul 25"
"471","Ming-Haw Liu","Bioactivation and reactivity research advances-2024 year in review.","Drug metabolism reviews","2025 Jul 28"
"472","Ming-Haw Liu","Iron-Tuned Depth-Dependent P Transformation on Calcium Carbonate Coprecipitates: The Impact of Fe and P Loadings.","Environmental science & technology","2025 Jul 29"
"473","Ming-Haw Liu","Drug Resistance Predictions Based on a Directed Flag Transformer.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)","2025 Jul 3"
"474","Ming-Haw Liu","The Effectiveness of the Advanced Cardiac Life Support System for Cardiopulmonary Resuscitation Care.","Computers, informatics, nursing : CIN","2025 Jul 30"
"475","Ming-Haw Liu","Inpatient spinal intervention is associated with improved outcomes following thoracolumbar pathologic compression fractures: a national retrospective study.","Journal of neurointerventional surgery","2025 Jul 30"
"476","Ming-Haw Liu","Selection Signature Analysis of Whole-Genome Sequences to Identify Genome Differences Between Selected and Unselected Holstein Cattle.","Animals : an open access journal from MDPI","2025 Jul 31"
"477","Ming-Haw Liu","Continuous Androgen Deprivation Therapy with or Without Metastasis-directed Therapy for Oligometastatic Prostate Cancer: The Multicenter Phase 2 Randomized EXTEND Trial.","European urology","2025 Jul 31"
"478","Ming-Haw Liu","Structural Brain Correlates of Childhood Inhibited Temperament: An ENIGMA-Anxiety Mega-Analysis.","Journal of the American Academy of Child and Adolescent Psychiatry","2025 Jul 4"
"479","Ming-Haw Liu","Towards fair decentralized benchmarking of healthcare AI algorithms with the Federated Tumor Segmentation (FeTS) challenge.","Nature communications","2025 Jul 8"
"480","Ming-Haw Liu","Geostationary Satellites Total Ozone Observations: First Results on Ground-Based Networks Validation Efforts for TEMPO and GEMS.","Geophysical research letters","2025 Jun 28"
"481","Ming-Haw Liu","A Multimodal Adaptive Optical Microscope For In Vivo Imaging from Molecules to Organisms.","bioRxiv : the preprint server for biology","2025 Jun 3"
"482","Ming-Haw Liu","Bacterial extracellular vesicles as a tunable platform for vaginal drug delivery.","bioRxiv : the preprint server for biology","2025 Jun 9"
"483","Ming-Haw Liu","SARS-CoV-2 ORF7a activates the endothelium to release von Willebrand factor that promotes thrombosis.","Research and practice in thrombosis and haemostasis","2025 May"
"484","Ming-Haw Liu","Widowhood disparities in nonaccidental mortality attributable to heat waves and ozone.","Eco-Environment & Health","2025 Sep"
"485","Ming-Haw Liu","Multi-omics integration analysis reveals the regulatory impact of CNVs for slaughter traits in cattle.","International journal of biological macromolecules","2025 Sep"
"486","Ming-Hui Tai","Out-of-pocket health care expenditure burden for Medicare beneficiaries with cancer.","Cancer","2013 Mar 15"
"487","Ming-Hui Tai","Age-related trends in psychotropic medication use among very young children in foster care.","Psychiatric services (Washington, D.C.)","2014 Dec 1"
"488","Ming-Hui Tai","A National Survey of State Medicaid Psychotropic-Monitoring Programs Targeting Youths.","Psychiatric services (Washington, D.C.)","2016 Oct 1"
"489","Ming-Hui Tai","Impact of Coordinated Behavioral Health Management on Quality Measures of Antipsychotic Use.","Administration and policy in mental health","2018 Jan"
"490","Ming-Hui Tai","Psychotropic Polypharmacy Among Youths With Serious Emotional and Behavioral Disorders Receiving Coordinated Care Services.","Psychiatric services (Washington, D.C.)","2018 Jun 1"
"491","Ming-Hui Tai","Impact of a Care Management Entity on Use of Psychiatric Services Among Youths With Severe Mental or Behavioral Disorders.","Psychiatric services (Washington, D.C.)","2018 Nov 1"
"492","Mohammad Al-Jawadi","A Systematic Review of the Benefits and Risks of Anticoagulation Following Traumatic Brain Injury.","The Journal of head trauma rehabilitation","2015 Jul-Aug"
"493","Navendu Samant","Formulary decision-making considerations: COX-2 inhibitors.","Managed care interface","2004 Nov"
"494","Navendu Samant","Modeling risk of gastrointestinal events among Medicaid NSAID users using propensity scores.","Expert review of pharmacoeconomics & outcomes research","2005 Oct"
"495","Navendu Samant","Health-related quality of life as a potential predictor in chronic obstructive lung disease patients.","Expert review of pharmacoeconomics & outcomes research","2007 Apr"
"496","Nneka Onwudiwe","Obesity and medicare expenditure: accounting for age-related height loss.","Obesity (Silver Spring, Md.)","2011 Jan"
"497","Nneka Onwudiwe","Barriers to self-management of diabetes: a qualitative study among low-income minority diabetics.","Ethnicity & disease","2011 Winter"
"498","Nneka Onwudiwe","Impact of venous thromboembolism on mortality of elderly Medicare patients with stage III colon cancer.","The oncologist","2012"
"499","Nneka Onwudiwe","Guidance Document: Global Pharmacoeconomic Model Adaption Strategies.","Value in health regional issues","2014 Dec"
"500","Nneka Onwudiwe","Cardiovascular event-free survival after adjuvant radiation therapy in breast cancer patients stratified by cardiovascular risk.","Cancer medicine","2014 Oct"
"501","Nneka Onwudiwe","Estimating Drug Costs: How do Manufacturer Net Prices Compare with Other Common US Price References?","PharmacoEconomics","2018 Sep"
"502","Nour Obeidat","Effect of initial ziprasidone dose on treatment persistence in schizophrenia.","Schizophrenia research","2006 Apr"
"503","Nour Obeidat","Cost-effectiveness analysis of linezolid compared with vancomycin for the treatment of nosocomial pneumonia caused by methicillin-resistant Staphylococcus aureus.","Clinical therapeutics","2006 Aug"
"504","Nour Obeidat","Factors affecting pharmacists' pediatric asthma counseling.","Journal of the American Pharmacists Association : JAPhA","2007 Nov-Dec"
"505","Nour Obeidat","Risk of discontinuation of atypical antipsychotic agents in the treatment of schizophrenia.","Schizophrenia research","2008 Jan"
"506","Nour Obeidat","Outcomes of irinotecan-based chemotherapy regimens in elderly Medicare patients with metastatic colorectal cancer.","The American journal of geriatric pharmacotherapy","2009 Dec"
"507","Nour Obeidat","Racial/ethnic and age disparities in chemotherapy selection for colorectal cancer.","The American journal of managed care","2010 Jul"
"508","O'Mareen Spence","Noninferiority Trials.","The New England journal of medicine","2018 Jan 18"
"509","O'Mareen Spence","Patient consent to publication and data sharing in industry and NIH-funded clinical trials.","Trials","2018 May 3"
"510","O'Mareen Spence","Psychiatric Services Preceding Initiation of Antipsychotic Medication Among Youth in Foster Care.","Journal of child and adolescent psychopharmacology","2019 May"
"511","O'Mareen Spence","Communication of Nonefficacy Benefits of New Drugs Approved on the Basis of Noninferiority Trials Alone: Cohort Study of FDA and Sponsor Communication, 2011-2017.","JAMA internal medicine","2019 May 1"
"512","O'Mareen Spence","Adjuvant-containing control arms in pivotal quadrivalent human papillomavirus vaccine trials: restoration of previously unpublished methodology.","BMJ evidence-based medicine","2020 Dec"
"513","O'Mareen Spence","Availability of study protocols for randomized trials published in high-impact medical journals: A cross-sectional analysis.","Clinical trials (London, England)","2020 Feb"
"514","O'Mareen Spence","Incompletely Reported Important Methodological Details and Inaccurate Description of the Formulation That the Control Arms Received in a Gardasil Vaccine Trial.","mSphere","2020 Nov 4"
"515","O'Mareen Spence","Spillover effects of state medicaid antipsychotic prior authorization policies in US commercially insured youth.","Pharmacoepidemiology and drug safety","2020 Sep"
"516","O'Mareen Spence","Cardiovascular Risk of Concomitant Use of Atypical Antipsychotics and Stimulants Among Commercially Insured Youth in the United States.","Frontiers in psychiatry","2021"
"517","O'Mareen Spence","Evaluation of Switch-to-Brand Rates as a Potential Signal for Therapeutic Equivalency of Generic Antidepressants: A Real-World Retrospective Cohort Study.","Clinical pharmacology and therapeutics","2021 Aug"
"518","O'Mareen Spence","Characteristics of Youths Treated With Psychotropic Polypharmacy in the United States, 1999 to 2015.","JAMA pediatrics","2021 Feb 1"
"519","O'Mareen Spence","Evaluating the association between antidepressant dose trajectories and treatment augmentation in pediatric depression.","Pharmacoepidemiology and drug safety","2022 Feb"
"520","O'Mareen Spence","Trends in antipsychotic use for youth with attention-deficit/hyperactivity disorder and disruptive behavior disorders.","Pharmacoepidemiology and drug safety","2022 Jul"
"521","O'Mareen Spence","Geographic Trends in Pediatric Psychotropic Medication Dispensing Before and After the Start of the COVID-19 Pandemic.","Psychiatric services (Washington, D.C.)","2023 Aug 1"
"522","O'Mareen Spence","Risk of incident gout following exposure to recombinant zoster vaccine in US adults aged ≥65 years.","Seminars in arthritis and rheumatism","2024 Oct"
"523","Pamela Roberto","Increasing Medicare part D enrollment in medication therapy management could improve health and lower costs.","Health affairs (Project Hope)","2013 Jul"
"524","Pamela Roberto","Incident user cohorts for assessing medication cost-offsets.","Health services research","2014 Aug"
"525","Pamela Roberto","Proximal Predictors of Long-Term Discontinuance with Noninsulin Antihyperglycemic Agents.","Journal of managed care & specialty pharmacy","2016 Sep"
"526","Pamela Roberto","Quantifying the Cost of Disability Transitions in Medicare.","Journal of aging and health","2017 Aug"
"527","Pamela Roberto","Redaction of Substance Abuse Claims in Medicare Research Files Affects Spending Outcomes for Nearly One in Five Beneficiaries with Serious Mental Illness.","Health services research","2017 Jun"
"528","Pamela Roberto","The Impact of Coverage Restrictions on Antipsychotic Utilization Among Low-Income Medicare Part D Enrollees.","Administration and policy in mental health","2017 Nov"
"529","Pamela Roberto","Adherence to Antipsychotic Therapy: Association With Hospitalization and Medicare Spending Among Part D Enrollees With Schizophrenia.","Psychiatric services (Washington, D.C.)","2017 Nov 1"
"530","Pamela Roberto","Impact of formulary restrictions on medication intensification in diabetes treatment.","The American journal of managed care","2018 May"
"531","Pankdeep Chhabra","The effect of dementia on medication use and adherence among Medicare beneficiaries with chronic heart failure.","The American journal of geriatric pharmacotherapy","2012 Feb"
"532","Pankdeep Chhabra","Medication reconciliation during the transition to and from long-term care settings: a systematic review.","Research in social & administrative pharmacy : RSAP","2012 Jan-Feb"
"533","Pankdeep Chhabra","Pharmacotherapeutic management of dementia across settings of care.","Journal of the American Geriatrics Society","2013 May"
"534","Pankdeep Chhabra","Effect of medications on physical function and cognition in nursing home residents with dementia.","Journal of the American Geriatrics Society","2014 Jun"
"535","Patience Moyo","Quality of psychopharmacological medication prescribing and mortality in Medicare beneficiaries in nursing homes.","Journal of the American Geriatrics Society","2014 Aug"
"536","Patience Moyo","Treated Behavioral Symptoms and Mortality in Medicare Beneficiaries in Nursing Homes with Alzheimer's Disease and Related Dementias.","Journal of the American Geriatrics Society","2015 Sep"
"537","Patience Moyo","Mortality Risk of Antipsychotic Dose and Duration in Nursing Home Residents with Chronic or Acute Indications.","Journal of the American Geriatrics Society","2016 May"
"538","Patience Moyo","Adherence to Maintenance Medications among Older Adults with Chronic Obstructive Pulmonary Disease. The Role of Depression.","Annals of the American Thoracic Society","2016 Sep"
"539","Patience Moyo","Adherence and healthcare utilization among older adults with COPD and depression.","Respiratory medicine","2017 Aug"
"540","Patience Moyo","Physician attitudes and experiences with Maryland's prescription drug monitoring program (PDMP).","Addiction (Abingdon, England)","2017 Feb"
"541","Patience Moyo","Impact of prescription drug monitoring programs (PDMPs) on opioid utilization among Medicare beneficiaries in 10 US States.","Addiction (Abingdon, England)","2017 Oct"
"542","Patience Moyo","The association of antidepressant treatment with COPD maintenance medication use and adherence in a comorbid Medicare population: A longitudinal cohort study.","International journal of geriatric psychiatry","2018 Feb"
"543","Patience Moyo","Exploratory and Confirmatory Factor Analyses of Delirium Symptoms in a Sample of Nursing Home Residents.","Journal of applied gerontology : the official journal of the Southern Gerontological Society","2018 Feb"
"544","Patience Moyo","Prescription drug monitoring programs: Assessing the association between ""best practices"" and opioid use in Medicare.","Health services research","2019 Oct"
"545","Pei Lin Huang","Effectiveness and Safety of Extended Oral Anticoagulant Therapy in Patients with Venous Thromboembolism: A Retrospective Cohort Study.","Clinical pharmacology and therapeutics","2022 Jul"
"546","Pei Lin Huang","Dosing profiles of concurrent opioid and benzodiazepine use associated with overdose risk among US Medicare beneficiaries: group-based multi-trajectory models.","Addiction (Abingdon, England)","2022 Jul"
"547","Pei Lin Huang","Comparison of effectiveness and safety for low versus full dose of apixaban during extended phase oral anticoagulation in patients with venous thromboembolism.","Journal of internal medicine","2022 Jun"
"548","Pei Lin Huang","Clinician barriers, perceptions, and practices in treating patients with hepatitis C virus and substance use disorder in the United States.","Preventive medicine reports","2023 Apr"
"549","Pei Lin Huang","Trajectories of Oral Anticoagulation Adherence and Associated Clinical Outcomes During Long-Term Anticoagulation Among Medicare Beneficiaries With Venous Thromboembolism.","The Annals of pharmacotherapy","2023 Dec"
"550","Pei Lin Huang","Deprescribing Strategies for Opioids and Benzodiazepines with Emphasis on Concurrent Use: A Scoping Review.","Journal of clinical medicine","2023 Feb 23"
"551","Pei Lin Huang","Comparative effectiveness and safety of extended anticoagulant therapy among Medicare beneficiaries with venous thromboembolism.","Clinical and translational science","2023 Jan"
"552","Pei Lin Huang","Comparative effectiveness and safety of direct oral anticoagulants versus warfarin among patients with recurrent venous thromboembolism.","Clinical and translational science","2023 Jun"
"553","Pei Lin Huang","Trajectories of adherence to extended treatment with warfarin and risks of recurrent venous thromboembolism and major bleeding.","Research and practice in thrombosis and haemostasis","2023 Mar"
"554","Pei Lin Huang","Trajectories of adherence to extended treatment with direct oral anticoagulants and risks of recurrent venous thromboembolism and major bleeding.","Journal of managed care & specialty pharmacy","2023 Nov"
"555","Pei Lin Huang","Documentation of individual-level social determinants of health among adults diagnosed with cancer in the United States.","Scientific reports","2025 Aug 13"
"556","Pei Lin Huang","Racial and Ethnic Underserved Populations Prescription Analgesic Use Before and After Lower Extremity Amputation in US Medicare.","Anesthesia and analgesia","2025 May 1"
"557","Phil Lee","Common genetic variants influence human subcortical brain structures.","Nature","2015 Apr 9"
